GRID_ID,CATEGORIA,ANO,MES,CRIMES,HISTORICO_1,PREVISAO_IA
6gfr8e,motorista,2024.0,3.0,1,0.0,1.17
6gfr8e,pedestre,2024.0,6.0,1,0.0,1.07
6gfrfb,motorista,2023.0,4.0,1,0.0,1.09
6gfrg4,motorista,2024.0,2.0,1,0.0,1.23
6gfx9k,pedestre,2024.0,4.0,1,0.0,1.09
6gfzuf,motorista,2023.0,3.0,1,0.0,1.17
6gfzuf,motorista,2024.0,1.0,1,1.0,2.33
6gfzuf,motorista,2024.0,5.0,1,1.0,1.61
6gfzuf,motorista,2024.0,6.0,1,1.0,1.57
6gfzuf,pedestre,2024.0,3.0,1,0.0,1.17
6ggx2f,pedestre,2024.0,4.0,1,0.0,1.09
6ggxje,motorista,2024.0,3.0,1,0.0,1.17
6ggzjk,pedestre,2024.0,4.0,1,0.0,1.09
6gsyv3,motorista,2023.0,4.0,1,0.0,1.09
6gsyv6,motorista,2023.0,4.0,1,0.0,1.09
6gsyv6,motorista,2023.0,5.0,1,1.0,1.61
6gsyv6,motorista,2023.0,6.0,1,1.0,1.57
6gsyv7,motorista,2023.0,1.0,1,0.0,1.98
6gsyvd,motorista,2023.0,6.0,1,0.0,1.07
6gsyvd,motorista,2024.0,3.0,1,1.0,1.69
6gsyvk,motorista,2023.0,1.0,1,0.0,1.98
6gtctn,motorista,2024.0,3.0,1,0.0,1.17
6gtd44,motorista,2023.0,4.0,2,0.0,1.09
6gtd44,motorista,2024.0,2.0,1,2.0,2.23
6gtd44,motorista,2024.0,3.0,2,1.0,1.69
6gtd44,motorista,2024.0,4.0,2,2.0,2.13
6gtd44,motorista,2024.0,5.0,1,2.0,2.21
6gtd9d,motorista,2024.0,1.0,1,0.0,1.98
6gtdq4,motorista,2023.0,3.0,1,0.0,1.17
6gtdyg,motorista,2023.0,2.0,1,0.0,1.23
6gtdzx,motorista,2024.0,2.0,1,0.0,1.23
6gtdzx,motorista,2024.0,3.0,1,1.0,1.69
6gte0j,motorista,2023.0,1.0,1,0.0,1.98
6gte0j,motorista,2023.0,2.0,1,1.0,1.68
6gte0j,motorista,2023.0,5.0,2,1.0,1.61
6gte0j,motorista,2024.0,4.0,1,2.0,2.13
6gte0q,motorista,2024.0,4.0,1,0.0,1.09
6gtep1,motorista,2023.0,4.0,1,0.0,1.09
6gtep1,motorista,2024.0,5.0,1,1.0,1.61
6gtg0n,motorista,2023.0,2.0,1,0.0,1.23
6gtg30,motorista,2024.0,5.0,1,0.0,1.1
6gtg34,motorista,2023.0,4.0,1,0.0,1.09
6gtg35,motorista,2024.0,4.0,1,0.0,1.09
6gtg36,motorista,2023.0,1.0,1,0.0,1.98
6gtg36,motorista,2023.0,2.0,3,1.0,1.68
6gtg36,motorista,2023.0,3.0,3,3.0,3.01
6gtg36,motorista,2023.0,4.0,2,3.0,2.74
6gtg36,motorista,2023.0,5.0,1,2.0,2.21
6gtg36,motorista,2023.0,6.0,2,1.0,1.57
6gtg36,motorista,2023.0,12.0,1,2.0,1.04
6gtg36,motorista,2024.0,1.0,2,1.0,2.33
6gtg36,motorista,2024.0,2.0,3,2.0,2.23
6gtg36,motorista,2024.0,3.0,2,3.0,3.01
6gtg36,motorista,2024.0,4.0,2,2.0,2.13
6gtg36,motorista,2024.0,5.0,4,2.0,2.21
6gtg65,motorista,2024.0,5.0,1,0.0,1.1
6gtg6f,motorista,2023.0,3.0,1,0.0,1.17
6gtg7m,motorista,2023.0,2.0,1,0.0,1.23
6gtg7w,motorista,2024.0,4.0,1,0.0,1.09
6gtg7x,motorista,2023.0,3.0,1,0.0,1.17
6gtge8,motorista,2023.0,3.0,1,0.0,1.17
6gtge8,motorista,2024.0,2.0,1,1.0,1.68
6gtge8,motorista,2024.0,3.0,2,1.0,1.69
6gtge8,motorista,2024.0,6.0,1,2.0,2.17
6gtge8,pedestre,2024.0,4.0,1,0.0,1.09
6gtgfc,motorista,2024.0,2.0,1,0.0,1.23
6gtgqd,motorista,2023.0,1.0,1,0.0,1.98
6gtgqk,motorista,2023.0,1.0,1,0.0,1.98
6gtgqk,motorista,2023.0,4.0,2,1.0,1.6
6gtgqk,motorista,2023.0,5.0,1,2.0,2.21
6gtgqk,motorista,2024.0,3.0,1,1.0,1.69
6gtgqk,motorista,2024.0,6.0,1,1.0,1.57
6gtgqm,motorista,2024.0,6.0,1,0.0,1.07
6gtgqn,motorista,2023.0,4.0,1,0.0,1.09
6gtgqs,motorista,2022.0,12.0,1,0.0,1.02
6gtguz,motorista,2024.0,1.0,1,0.0,1.98
6gtgv0,motorista,2024.0,3.0,1,0.0,1.17
6gtgv3,motorista,2023.0,3.0,1,0.0,1.17
6gtgv3,motorista,2024.0,6.0,1,1.0,1.57
6gtgyn,motorista,2023.0,4.0,1,0.0,1.09
6gtgyn,motorista,2024.0,4.0,1,1.0,1.6
6gtgyq,motorista,2024.0,1.0,1,0.0,1.98
6gthdq,motorista,2023.0,3.0,1,0.0,1.17
6gtk86,motorista,2023.0,1.0,1,0.0,1.98
6gtk86,motorista,2023.0,4.0,1,1.0,1.6
6gtk86,motorista,2024.0,2.0,2,1.0,1.68
6gtk86,motorista,2024.0,3.0,1,2.0,2.37
6gtk86,motorista,2024.0,4.0,1,1.0,1.6
6gtk8s,motorista,2023.0,6.0,1,0.0,1.07
6gtmtf,motorista,2024.0,3.0,1,0.0,1.17
6gtnz0,motorista,2023.0,5.0,1,0.0,1.1
6gtp4z,motorista,2023.0,5.0,1,0.0,1.1
6gtprr,motorista,2023.0,1.0,1,0.0,1.98
6gtprr,motorista,2023.0,5.0,1,1.0,1.61
6gtprx,motorista,2023.0,5.0,1,0.0,1.1
6gtpx3,motorista,2024.0,1.0,1,0.0,1.98
6gtpx6,motorista,2023.0,3.0,1,0.0,1.17
6gtpx6,motorista,2024.0,5.0,1,1.0,1.61
6gtpx9,motorista,2023.0,1.0,1,0.0,1.98
6gtpx9,motorista,2023.0,2.0,1,1.0,1.68
6gtpx9,motorista,2023.0,5.0,1,1.0,1.61
6gtpx9,motorista,2023.0,6.0,1,1.0,1.57
6gtpx9,motorista,2024.0,1.0,2,1.0,2.33
6gtpx9,motorista,2024.0,2.0,1,2.0,2.23
6gtpx9,motorista,2024.0,4.0,1,1.0,1.6
6gtpx9,motorista,2024.0,5.0,2,1.0,1.61
6gtpx9,motorista,2024.0,6.0,2,2.0,2.17
6gtpxc,motorista,2024.0,3.0,1,0.0,1.17
6gtpxc,motorista,2024.0,4.0,2,1.0,1.6
6gtpxd,motorista,2023.0,4.0,1,0.0,1.09
