H3,DATA_DT,TURNO,RISCO,PRED,ERRO
88a81001b7fffff,2026-03-22 02:40:28.943943,0,15.0,15.0,0.0
88a810089dfffff,2026-02-01 00:10:28.943943,0,15.0,15.0,0.0
88a8100c01fffff,2026-01-07 06:40:28.943943,0,15.0,41.23,26.23
88a8100c01fffff,2026-01-10 02:10:28.943943,0,15.0,15.0,0.0
88a8100c01fffff,2026-01-26 03:40:28.943943,0,15.0,15.0,0.0
88a8100c01fffff,2026-02-06 01:40:28.943943,0,60.0,52.71,7.290001
88a8100c01fffff,2026-02-09 04:40:28.943943,0,15.0,15.0,0.0
88a8100c01fffff,2026-02-10 04:40:28.943943,0,15.0,15.0,0.0
88a8100c01fffff,2026-02-15 02:40:28.943943,0,15.0,15.01,0.010000229
88a8100c01fffff,2026-02-23 02:10:28.943943,0,15.0,15.0,0.0
88a8100c01fffff,2026-02-25 00:10:28.943943,0,15.0,15.0,0.0
88a8100c01fffff,2026-03-07 03:40:28.943943,0,60.0,56.36,3.6399994
88a8100c01fffff,2026-03-10 01:10:28.943943,0,15.0,15.0,0.0
88a8100c01fffff,2026-03-16 05:40:28.943943,0,15.0,15.0,0.0
88a8100c01fffff,2026-03-18 05:40:28.943943,0,15.0,15.0,0.0
88a8100c01fffff,2026-03-22 03:40:28.943943,0,15.0,15.01,0.010000229
88a8100c01fffff,2026-03-26 03:10:28.943943,0,15.0,15.0,0.0
88a8100c01fffff,2026-03-29 04:40:28.943943,0,15.0,15.01,0.010000229
88a8100c01fffff,2026-04-06 01:10:28.943943,0,60.0,54.29,5.709999
88a8100c01fffff,2026-01-07 11:40:28.943943,1,15.0,14.84,0.15999985
88a8100c01fffff,2026-01-14 10:40:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-01-23 11:10:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-01-29 12:40:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-02-01 08:10:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-02-01 12:10:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-02-01 12:40:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-02-04 07:10:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-02-08 10:10:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-02-09 11:40:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-02-13 08:10:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-02-18 10:10:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-02-28 10:10:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-03-12 08:40:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-03-23 08:40:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-03-25 09:40:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-03-29 09:10:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-03-30 10:40:28.943943,1,15.0,15.0,0.0
88a8100c01fffff,2026-01-01 15:10:28.943943,2,15.0,15.0,0.0
88a8100c01fffff,2026-01-02 15:40:28.943943,2,15.0,15.0,0.0
88a8100c01fffff,2026-01-18 13:10:28.943943,2,15.0,15.0,0.0
88a8100c01fffff,2026-01-23 14:40:28.943943,2,15.0,15.0,0.0
88a8100c01fffff,2026-01-24 15:10:28.943943,2,15.0,15.0,0.0
88a8100c01fffff,2026-01-28 14:10:28.943943,2,15.0,15.0,0.0
88a8100c01fffff,2026-02-09 16:10:28.943943,2,15.0,15.0,0.0
88a8100c01fffff,2026-02-12 18:40:28.943943,2,15.0,15.0,0.0
88a8100c01fffff,2026-02-13 14:10:28.943943,2,15.0,15.0,0.0
88a8100c01fffff,2026-02-20 18:10:28.943943,2,15.0,15.03,0.029999733
88a8100c01fffff,2026-02-21 13:10:28.943943,2,15.0,15.07,0.069999695
88a8100c01fffff,2026-02-21 17:40:28.943943,2,15.0,14.21,0.78999996
88a8100c01fffff,2026-02-27 15:40:28.943943,2,15.0,15.0,0.0
88a8100c01fffff,2026-03-05 13:40:28.943943,2,15.0,14.98,0.020000458
88a8100c01fffff,2026-03-15 18:10:28.943943,2,15.0,15.0,0.0
88a8100c01fffff,2026-03-17 16:10:28.943943,2,15.0,15.0,0.0
88a8100c01fffff,2026-03-28 15:40:28.943943,2,15.0,15.0,0.0
88a8100c01fffff,2026-03-28 17:40:28.943943,2,15.0,15.0,0.0
88a8100c01fffff,2025-12-23 20:40:28.943943,3,15.0,14.99,0.010000229
88a8100c01fffff,2026-01-01 19:10:28.943943,3,15.0,15.0,0.0
88a8100c01fffff,2026-01-04 22:10:28.943943,3,15.0,15.0,0.0
88a8100c01fffff,2026-01-16 23:10:28.943943,3,15.0,15.0,0.0
88a8100c01fffff,2026-01-18 23:40:28.943943,3,15.0,15.0,0.0
88a8100c01fffff,2026-01-20 21:40:28.943943,3,60.0,59.96,0.040000916
88a8100c01fffff,2026-01-23 22:40:28.943943,3,15.0,15.0,0.0
88a8100c01fffff,2026-02-10 21:10:28.943943,3,15.0,15.0,0.0
88a8100c01fffff,2026-02-23 20:40:28.943943,3,15.0,15.01,0.010000229
88a8100c01fffff,2026-02-24 19:10:28.943943,3,15.0,14.99,0.010000229
88a8100c01fffff,2026-02-25 23:10:28.943943,3,15.0,14.99,0.010000229
88a8100c01fffff,2026-03-04 20:40:28.943943,3,15.0,14.99,0.010000229
88a8100c01fffff,2026-03-06 22:10:28.943943,3,60.0,60.6,0.5999985
88a8100c01fffff,2026-03-19 19:10:28.943943,3,15.0,15.0,0.0
88a8100c01fffff,2026-03-20 22:10:28.943943,3,60.0,60.49,0.49000168
88a8100c01fffff,2026-04-02 23:40:28.943943,3,15.0,15.0,0.0
88a8100c03fffff,2025-12-25 00:10:28.943943,0,15.0,15.0,0.0
88a8100c03fffff,2025-12-27 03:10:28.943943,0,15.0,15.0,0.0
88a8100c03fffff,2025-12-30 01:10:28.943943,0,15.0,15.0,0.0
88a8100c03fffff,2025-12-30 05:40:28.943943,0,15.0,14.99,0.010000229
88a8100c03fffff,2026-01-01 06:10:28.943943,0,15.0,15.0,0.0
88a8100c03fffff,2026-01-09 06:10:28.943943,0,15.0,15.0,0.0
88a8100c03fffff,2026-01-21 01:40:28.943943,0,60.0,51.67,8.330002
88a8100c03fffff,2026-01-30 03:40:28.943943,0,15.0,15.01,0.010000229
88a8100c03fffff,2026-02-03 01:40:28.943943,0,15.0,15.0,0.0
88a8100c03fffff,2026-02-05 04:10:28.943943,0,60.0,51.07,8.93
88a8100c03fffff,2026-02-07 05:10:28.943943,0,60.0,56.17,3.8300018
88a8100c03fffff,2026-02-10 01:10:28.943943,0,15.0,15.0,0.0
88a8100c03fffff,2026-02-18 04:10:28.943943,0,15.0,15.01,0.010000229
88a8100c03fffff,2026-02-25 04:10:28.943943,0,15.0,15.01,0.010000229
88a8100c03fffff,2026-02-27 05:10:28.943943,0,15.0,15.01,0.010000229
88a8100c03fffff,2026-03-11 04:40:28.943943,0,15.0,15.01,0.010000229
88a8100c03fffff,2026-03-24 03:40:28.943943,0,15.0,15.0,0.0
88a8100c03fffff,2026-03-25 00:10:28.943943,0,15.0,15.0,0.0
88a8100c03fffff,2026-03-25 01:10:28.943943,0,15.0,15.0,0.0
88a8100c03fffff,2026-03-27 03:40:28.943943,0,15.0,14.87,0.13000011
88a8100c03fffff,2025-12-25 09:10:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2025-12-31 07:10:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2026-01-04 07:40:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2026-01-19 07:10:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2026-01-27 08:10:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2026-01-30 12:10:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2026-02-02 10:10:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2026-02-05 12:40:28.943943,1,15.0,15.05,0.05000019
88a8100c03fffff,2026-02-07 07:10:28.943943,1,15.0,15.05,0.05000019
88a8100c03fffff,2026-02-10 12:40:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2026-02-11 09:40:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2026-02-16 09:40:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2026-02-19 10:10:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2026-02-20 12:10:28.943943,1,15.0,15.04,0.03999996
88a8100c03fffff,2026-02-27 08:10:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2026-03-05 12:10:28.943943,1,15.0,15.02,0.020000458
88a8100c03fffff,2026-03-08 08:10:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2026-03-22 11:40:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2026-03-26 08:10:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2026-04-04 08:10:28.943943,1,15.0,15.0,0.0
88a8100c03fffff,2025-12-24 15:10:28.943943,2,15.0,15.0,0.0
88a8100c03fffff,2025-12-27 17:40:28.943943,2,15.0,15.0,0.0
88a8100c03fffff,2025-12-29 13:10:28.943943,2,15.0,15.0,0.0
88a8100c03fffff,2026-01-02 17:40:28.943943,2,15.0,15.0,0.0
88a8100c03fffff,2026-01-08 16:40:28.943943,2,15.0,15.0,0.0
88a8100c03fffff,2026-01-14 15:10:28.943943,2,15.0,15.0,0.0
88a8100c03fffff,2026-01-15 13:10:28.943943,2,15.0,15.0,0.0
88a8100c03fffff,2026-01-25 13:40:28.943943,2,15.0,15.0,0.0
88a8100c03fffff,2026-01-31 16:10:28.943943,2,15.0,15.0,0.0
88a8100c03fffff,2026-02-04 18:10:28.943943,2,15.0,15.0,0.0
88a8100c03fffff,2026-02-11 16:10:28.943943,2,15.0,15.0,0.0
88a8100c03fffff,2026-02-28 13:10:28.943943,2,15.0,15.0,0.0
88a8100c03fffff,2026-03-01 17:40:28.943943,2,15.0,15.0,0.0
88a8100c03fffff,2026-04-05 16:40:28.943943,2,15.0,15.26,0.26000023
88a8100c03fffff,2025-12-24 21:40:28.943943,3,15.0,15.0,0.0
88a8100c03fffff,2025-12-27 20:10:28.943943,3,15.0,15.0,0.0
88a8100c03fffff,2025-12-28 23:40:28.943943,3,15.0,15.0,0.0
88a8100c03fffff,2026-01-15 20:40:28.943943,3,15.0,15.0,0.0
88a8100c03fffff,2026-01-23 23:10:28.943943,3,15.0,15.0,0.0
88a8100c03fffff,2026-02-08 21:10:28.943943,3,15.0,15.0,0.0
88a8100c03fffff,2026-02-12 20:10:28.943943,3,15.0,15.0,0.0
88a8100c03fffff,2026-03-05 21:10:28.943943,3,60.0,55.56,4.4399986
88a8100c03fffff,2026-03-05 23:40:28.943943,3,60.0,60.16,0.15999985
88a8100c03fffff,2026-03-06 19:40:28.943943,3,60.0,60.34,0.34000015
88a8100c03fffff,2026-03-16 22:40:28.943943,3,15.0,15.0,0.0
88a8100c03fffff,2026-03-19 20:40:28.943943,3,15.0,15.0,0.0
88a8100c03fffff,2026-03-22 23:40:28.943943,3,15.0,15.0,0.0
88a8100c03fffff,2026-03-24 19:40:28.943943,3,15.0,15.0,0.0
88a8100c03fffff,2026-03-26 23:40:28.943943,3,15.0,15.0,0.0
88a8100c03fffff,2026-03-29 22:40:28.943943,3,15.0,15.0,0.0
88a8100c03fffff,2026-04-05 22:40:28.943943,3,60.0,58.49,1.5099983
